text,labels
"Multi-vent regulators are widely used in Egypt. Operation system of gates affects the characteristics of the flow downstream (DS) of multi-vent regulators. The current study aimed toward introducing the artificial intelligence technique as a new modeling tool in the prediction of the characteristics of the flow downstream of multi-vent regulators under the management and operating systems of multi-gates. Specially Artificial Neural Network (ANN) is utilized in the current study in conjunction with experimental data to predict the relative length of the submerged hydraulic jump (HJ) occured DS of multi-vent regulators under the different cases of gates operation. The results show that ANN technique is very successful in simulating the relative submerged hydraulic jump length occurred in stilling basins downstream of multi-vent regulators better than multiple linear regression (MLR). (C) 2015 Faculty of Engineering, Ain Shams University. Production and hosting by Elsevier B.V.
",4
"This article presents basic concepts and recent research directions about the stability of sampled-data systems with aperiodic sampling. We focus mainly on the stability problem for systems with arbitrary time-varying sampling intervals which has been addressed in several areas of research in Control Theory. Systems with aperiodic sampling can be seen as time-delay systems, hybrid systems, Input/Output interconnections, discrete-time systems with time-varying parameters, etc. The goal of the article is to provide a structural overview of the progress made on the stability analysis problem. Without being exhaustive, which would be neither possible nor useful, we try to bring together results from diverse communities and present them in a unified manner. For each of the existing approaches, the basic concepts, fundamental results, converse stability theorems (when available), and relations with the other approaches are discussed in detail. Results concerning extensions of Lyapunov and frequency domain methods for systems with aperiodic sampling are recalled, as they allow to derive constructive stability conditions. Furthermore, numerical criteria are presented while indicating the sources of conservatism, the problems that remain open and the possible directions of improvement. At last, some emerging research directions, such as the design of stabilizing sampling sequences, are briefly discussed. (C) 2016 Elsevier Ltd. All rights reserved.
",7
"Transportation Engineers face many problems in using Sand Dunes available in huge quantities through the desert areas in Iraq as construction Materials for Roads. This study consists of using Sand Dunes as local material in road construction. Two approaches are adopted to achieve this goal; the first is carrying out laboratory tests through simulation of three layers of paved road, using a steel box model where Subgrade layer represented by Sand Dunes at relative density 55.7% (in situe Value). The study oriented as well to the improvement of sand dunes through using reinforcement with two types of Geosynthetic material. Two models were studied, one of which is reinforced by single layer of geotextile at subbase-subgrade interface and the other using single layer of geogrid at the same depth to improve the subgrade, grouting technique is used through the injection of the subgrade with a mixture of cement, bentonite, and water. Using of geotextile and geogrid, leads to increase the number of passes 108.53%, 78.05% respectively. The using of injection technique increase the number of passes about 18.29%. FE approach using Abaqus program was applied to find out displacement distribution through build pavement structure model. The results obtained from both laboratory and finite elements are very much encouraging with using Sand Dune as construction materials for Roads. However, using reinforcement in between subbase-subgrade interface also satisfied the minimum stability requirements for roads foundation structure with sand dunes as subgrade layer.
",19
"Introduction: The emergence and mass utilization of high-throughput (HT) technologies, including sequencing technologies (genomics) and mass spectrometry (proteomics, metabolomics, lipids), has allowed geneticists, biologists, and biostatisticians to bridge the gap between genotype and phenotype on a massive scale. These new technologies have brought rapid advances in our understanding of cell biology, evolutionary history, microbial environments, and are increasingly providing new insights and applications towards clinical care and personalized medicine.Areas covered: The very success of this industry also translates into daunting big data challenges for researchers and institutions that extend beyond the traditional academic focus of algorithms and tools. The main obstacles revolve around analysis provenance, data management of massive datasets, ease of use of software, interpretability and reproducibility of results.Expert commentary: The authors review the challenges associated with implementing bioinformatics best practices in a large-scale setting, and highlight the opportunity for establishing bioinformatics pipelines that incorporate data tracking and auditing, enabling greater consistency and reproducibility for basic research, translational or clinical settings.
",29
"Compressed sensing (CS) demonstrates that sparse signals can be estimated from underdetermined linear systems. Distributed CS (DCS) further reduces the number of measurements by considering joint sparsity within signal ensembles. DCS with jointly sparse signals has applications in multisensor acoustic sensing, magnetic resonance imaging with multiple coils, remote sensing, and array signal processing. Multimeasurement vector (MMV) problems consider the estimation of jointly sparse signals under the DCS framework. Two related MMV settings are studied. In the first setting, each signal vector is measured by a different independent and identically distributed (i. i. d.) measurement matrix, while in the second setting, all signal vectors are measured by the same i. i. d. matrix. Replica analysis is performed for these two MMV settings, and the minimum mean squared error (MMSE), which turns out to be identical for both settings, is obtained as a function of the noise variance and number of measurements. To showcase the application of MMV models, the MMSE's of complex CS problems with both real and complex measurement matrices are also analyzed. Multiple performance regions for MMV are identified where the MMSE behaves differently as a function of the noise variance and the number of measurements. Belief propagation (BP) is a CS signal estimation framework that often achieves the MMSE asymptotically. A phase transition for BP is identified. This phase transition, verified by numerical results, separates the regions where BP achieves the MMSE and where it is suboptimal. Numerical results also illustrate that more signal vectors in the jointly sparse signal ensemble lead to a better phase transition.
",20
"The notion Internet of Things (IoT) means all things in the global network can be interconnected and accessed. Wireless sensor network (WSN) is one of the most important applications of the notion and is widely used in nearly all scopes. In 2014, Hsieh et al. presented an improved authentication scheme for WSNs. But it has several weaknesses, including no session key, lack of mutual authentication and under the insider attack, the off-line guessing attack, the user forgery attack and the sensor capture attack. To avoid the weaknesses, we present a new authentication scheme which is also for WSNs. Then we employ the random oracle model to show the formal proof, and use the protocol analyzing tool Proverif to list the formal verification process. Compared with some recent schemes for WSNs via the aspects of security properties, the proposed scheme overcomes the common problems and fits for the security properties of IoT.
",3
"We consider the problem of allocating the cost of a transmission system among load and generator entities. It is a known instance of the classical cooperative game theoretic problem. To solve this problem is a formidable task, as we are dealing with a combinatorial game with transferable utilities. This is an NP hard problem. Therefore, it suffers from the curse of dimensionality. Marginal pricing is a pragmatic alternative to solve this problem since both Kirchhoff current law and voltage law are strictly adhered to. However, the generic complexity of cooperative game theoretic problems cannot be just wished away. It now manifests as the difficulty in choosing an economic slack bus, which may even be dispersed. We propose the application of min-max fairness policy to solve this problem and give an algorithm which will run in polynomial time. During network cost allocation, min-max fairness policy minimizes the maximum regret among participating entities at each step. Maximum regret is measured in terms of price, and lexicographic application of this principle leads to a fair and unique equilibrium price vector. Results on a large network demonstrate fairness as well as tractability of the proposed approach.
",6
"BACKGROUND: Opiate abuse and overdose reached epidemic levels in the United States. However, despite significant advances in animal and in vitro models, little knowledge has been directly accrued regarding the neurobiology of the opiate-addicted human brain. METHODS: We used postmortem human brain specimens from a homogeneous European Caucasian population of heroin users for transcriptional and epigenetic profiling, as well as direct assessment of chromatin accessibility in the striatum, a brain region central to reward and emotion. A rat heroin self-administration model was used to obtain translational molecular and behavioral insights. RESULTS: Our transcriptome approach revealed marked impairments related to glutamatergic neurotransmission and chromatin remodeling in the human striatum. A series of biochemical experiments tracked the specific location of the epigenetic disturbances to hyperacetylation of lysine 27 of histone H3, showing dynamic correlations with heroin use history and acute opiate toxicology. Targeted investigation of GRIA1, a glutamatergic gene implicated in drug-seeking behavior, verified the increased enrichment of lysine-27 acetylated histone H3 at discrete loci, accompanied by enhanced chromatin accessibility at hyperacetylated regions in the gene body. Analogous epigenetic impairments were detected in the striatum of heroin self-administering rats. Using this translational model, we showed that bromodomain inhibitor JQ1, which blocks the functional readout of acetylated lysines, reduced heroin self-administration and cue-induced drug-seeking behavior. CONCLUSIONS: Overall, our data suggest that heroin-related histone H3 hyperacetylation contributes to glutamatergic transcriptional changes that underlie addiction behavior and identify JQ1 as a promising candidate for targeted clinical interventions in heroin use disorder.
",23
"Objective: The objective of this study was to determine the contribution of lymphatic tissue to heterotopic ossification (HO). Background: HO is the pathologic development of ectopic bone within soft tissues often following severe trauma. Characterization of the tissue niche supporting HO is critical to identifying therapies directed against this condition. Lymphangiogenesis is upregulated during incidents of trauma, thereby coincident with the niche supportive of HO. We hypothesized that lymphatic tissues play a critical role in HO formation. Methods: Mice underwent hindlimb Achilles' tendon transection and dorsal burn injury (burn/tenotomy) to induce HO. The popliteal and inguinal lymph nodes were excised ipsilateral to the tenotomy site. Flow cytometry and immunostaining were used to quantify and localize lymphoendothelium. MicroCT was used to quantify HO. Results: Enrichment of mature lymphatic tissues was noted 2 weeks after injury at the tendon transection sites when compared with the contralateral, intact tendon based on LYVE1+ tubules (10.9% vs 0.8%, P < 0.05). Excision of the inguinal and popliteal nodes with draining popliteal lymphatic vessel significantly decreased the presence of mature lymphoendothelium 2 weeks after injury (10.9% vs 3.3%, P < 0.05). Bone-cartilage-stromal progenitor cells (CD105+/AlphaV+/Tie2-/CD45-/CD90-/BP1-) were also significantly decreased after lymph node excision (10.2% vs 0.5%, P < 0.05). A significant decrease was noted in the volume of de novo HOpresent within the soft tissues (0.12 mm(3) vs 0.02 mm(3)). Conclusion: These findings suggest that lymphatic vessels are intimately linked with the de novo formation bone within soft tissues following trauma, and their presence may facilitate bone formation.
",31
"The first tool presented in this paper is a generic factory cost model that can estimate various costs at multiple levels of any manufacturing plant. The model is activity-based which means that the cost of each manufacturing operation is calculated and then summed up so that the true -per-hour pound factory cost rate as well as the exact unit cost (i.e. manufacturing cost) of an unlimited number of different components can be estimated. The second tool is a scalable cost model that estimates the unit cost of future integrally bladed disc (blisk) designs which are used by the aerospace industry in gas turbine compressors. The tool multiplies the machine cost rates, calculated by the factory cost model, by the operation times derived from blisk scaling rules. As the operation times often depend on the number of blades, the disc diameter and other design variables, many scaling rules are based on the correlation between operation times and certain design parameters. Conversely, the remaining process times are constant because they are independent of the blisk geometry. As future process times can only be estimated and the correlation between operation times and design parameters is never perfect, all operation times have uncertainty distributions. These are cascaded through the model to generate a probability distribution of the unit cost. Through the interactive exchange of detailed cost information at the manufacturing operation level as well as extrapolated operation times, the two cost models facilitate design and manufacturing engineering to concurrently optimise blisk designs and manufacturing processes in terms of cost. (C) 2012 Elsevier B.V. All rights reserved.
",15
